Second,CH1,CH2
+4.720000E-07,-2.000004E-02,-4.000000E-03
+4.740000E-07,-2.000004E-02,-4.000000E-03
+4.760000E-07,-2.000004E-02,-4.000000E-03
+4.780000E-07,-2.000004E-02,-6.000000E-03
+4.800000E-07,+2.000004E-02,-6.000000E-03
+4.820000E-07,+2.000004E-02,-6.000000E-03
+4.840000E-07,+2.000004E-02,-6.000000E-03
+4.860000E-07,+2.000004E-02,-6.000000E-03
+4.880000E-07,+2.000004E-02,-6.000000E-03
+4.900000E-07,+5.999982E-02,-6.000000E-03
+4.920000E-07,+2.000004E-02,-7.999999E-03
+4.940000E-07,+2.000004E-02,-7.999999E-03
+4.960000E-07,+2.000004E-02,-1.000000E-02
+4.980000E-07,+2.000004E-02,-1.000000E-02
+5.000000E-07,+2.000004E-02,-1.000000E-02
+5.020000E-07,+2.000004E-02,-1.000000E-02
+5.040000E-07,+2.000004E-02,-1.000000E-02
+5.060000E-07,+2.000004E-02,-1.000000E-02
+5.080000E-07,+2.000004E-02,-1.000000E-02
+5.100000E-07,+2.000004E-02,-7.999999E-03
+5.120000E-07,-2.000004E-02,-7.999999E-03
+5.140000E-07,-2.000004E-02,-7.999999E-03
+5.160000E-07,-2.000004E-02,-7.999999E-03
+5.180000E-07,-2.000004E-02,-7.999999E-03
+5.200000E-07,-2.000004E-02,-7.999999E-03
+5.220000E-07,-2.000004E-02,-6.000000E-03
+5.240000E-07,-2.000004E-02,-6.000000E-03
+5.260000E-07,-2.000004E-02,-6.000000E-03
+5.280000E-07,-2.000004E-02,-6.000000E-03
+5.300000E-07,+2.000004E-02,-4.000000E-03
+5.320000E-07,-2.000004E-02,-6.000000E-03
+5.340000E-07,-2.000004E-02,-6.000000E-03
+5.360000E-07,-2.000004E-02,-6.000000E-03
+5.380000E-07,-2.000004E-02,-6.000000E-03
+5.400000E-07,-2.000004E-02,-7.999999E-03
+5.420000E-07,-2.000004E-02,-7.999999E-03
+5.440000E-07,-2.000004E-02,-7.999999E-03
+5.460000E-07,-2.000004E-02,-7.999999E-03
+5.480000E-07,-2.000004E-02,-7.999999E-03
+5.500000E-07,-2.000004E-02,-7.999999E-03
+5.520000E-07,-6.000012E-02,-1.000000E-02
+5.540000E-07,-6.000012E-02,-1.000000E-02
+5.560000E-07,-6.000012E-02,-1.000000E-02
+5.580000E-07,-6.000012E-02,-1.000000E-02
+5.600000E-07,-2.000004E-02,-1.000000E-02
+5.620000E-07,-2.000004E-02,-1.000000E-02
+5.640000E-07,-2.000004E-02,-7.999999E-03
+5.660000E-07,-2.000004E-02,-7.999999E-03
+5.680000E-07,-2.000004E-02,-7.999999E-03
+5.700000E-07,+2.000004E-02,-6.000000E-03
+5.720000E-07,+2.000004E-02,-6.000000E-03
+5.740000E-07,+2.000004E-02,-6.000000E-03
+5.760000E-07,+2.000004E-02,-6.000000E-03
+5.780000E-07,+2.000004E-02,-6.000000E-03
+5.800000E-07,+2.000004E-02,-6.000000E-03
+5.820000E-07,+2.000004E-02,-6.000000E-03
+5.840000E-07,+2.000004E-02,-6.000000E-03
+5.860000E-07,+2.000004E-02,-6.000000E-03
+5.880000E-07,+2.000004E-02,-6.000000E-03
+5.900000E-07,+2.000004E-02,-4.000000E-03
+5.920000E-07,-2.000004E-02,-6.000000E-03
+5.940000E-07,-2.000004E-02,-6.000000E-03
+5.960000E-07,-2.000004E-02,-6.000000E-03
+5.980000E-07,-2.000004E-02,-6.000000E-03
+6.000000E-07,-2.000004E-02,-6.000000E-03
+6.020000E-07,-2.000004E-02,-6.000000E-03
+6.040000E-07,-2.000004E-02,-6.000000E-03
+6.060000E-07,-2.000004E-02,-6.000000E-03
+6.080000E-07,-2.000004E-02,-6.000000E-03
+6.100000E-07,-2.000004E-02,-6.000000E-03
+6.120000E-07,-6.000012E-02,-7.999999E-03
+6.140000E-07,-6.000012E-02,-7.999999E-03
+6.160000E-07,-6.000012E-02,-7.999999E-03
+6.180000E-07,-6.000012E-02,-7.999999E-03
+6.200000E-07,-6.000012E-02,-1.000000E-02
+6.220000E-07,-2.000004E-02,-1.000000E-02
+6.240000E-07,-2.000004E-02,-1.000000E-02
+6.260000E-07,-2.000004E-02,-1.000000E-02
+6.280000E-07,-2.000004E-02,-1.000000E-02
+6.300000E-07,+2.000004E-02,-7.999999E-03
+6.320000E-07,+2.000004E-02,-1.000000E-02
+6.340000E-07,+2.000004E-02,-1.000000E-02
+6.360000E-07,+2.000004E-02,-1.000000E-02
+6.380000E-07,+2.000004E-02,-1.000000E-02
+6.400000E-07,+2.000004E-02,-7.999999E-03
+6.420000E-07,+5.999982E-02,-7.999999E-03
+6.440000E-07,+5.999982E-02,-7.999999E-03
+6.460000E-07,+5.999982E-02,-7.999999E-03
+6.480000E-07,+5.999982E-02,-7.999999E-03
+6.500000E-07,+5.999982E-02,-6.000000E-03
+6.520000E-07,+2.000004E-02,-7.999999E-03
+6.540000E-07,+2.000004E-02,-7.999999E-03
+6.560000E-07,+2.000004E-02,-7.999999E-03
+6.580000E-07,-2.000004E-02,-7.999999E-03
+6.600000E-07,-2.000004E-02,-7.999999E-03
+6.620000E-07,-2.000004E-02,-7.999999E-03
+6.640000E-07,-2.000004E-02,-7.999999E-03
+6.660000E-07,-2.000004E-02,-7.999999E-03
+6.680000E-07,-2.000004E-02,-7.999999E-03
+6.700000E-07,-2.000004E-02,-6.000000E-03
+6.720000E-07,-6.000012E-02,-7.999999E-03
+6.740000E-07,-6.000012E-02,-7.999999E-03
+6.760000E-07,-2.000004E-02,-7.999999E-03
+6.780000E-07,-2.000004E-02,-7.999999E-03
+6.800000E-07,-2.000004E-02,-6.000000E-03
+6.820000E-07,-2.000004E-02,-6.000000E-03
+6.840000E-07,-2.000004E-02,-6.000000E-03
+6.860000E-07,-2.000004E-02,-6.000000E-03
+6.880000E-07,-2.000004E-02,-6.000000E-03
+6.900000E-07,+2.000004E-02,-4.000000E-03
+6.920000E-07,-2.000004E-02,-6.000000E-03
+6.940000E-07,-2.000004E-02,-6.000000E-03
+6.960000E-07,-2.000004E-02,-6.000000E-03
+6.980000E-07,-2.000004E-02,-6.000000E-03
